province,harvest_area,productivity,production,year
PAPUA TENGAH,20942000,4428,9273220,2023
PAPUA PEGUNUNGAN,141400,4359,61630,2023
ACEH,3011963500,5511,1659966280,2024
SUMATERA UTARA,4194634800,5256,2204875510,2024
SUMATERA BARAT,2952789800,4594,1356467930,2024
RIAU,564219600,3936,222055710,2024
JAMBI,616256800,4560,281022050,2024
SUMATERA SELATAN,5210922100,5583,2909411670,2024
BENGKULU,557750900,4892,272848550,2024
LAMPUNG,5317151200,5250,2791347530,2024
KEP. BANGKA BELITUNG,182025600,4257,77489790,2024
KEP. RIAU,1133300,2692,305090,2024
DKI JAKARTA,4983100,4629,2306540,2024
JAWA BARAT,14753620900,5847,8626879910,2024
JAWA TENGAH,15547771399.999998,5719,8891297050,2024
DI YOGYAKARTA,969761300,4670,452831770,2024
JAWA TIMUR,16169850500,5733,9270435290,2024
BANTEN,2990907900,5184,1550623460,2024
BALI,1038039299.9999999,6122,635473350,2024
NUSA TENGGARA BARAT,2817178400.0000005,5159,1453408370,2024
NUSA TENGGARA TIMUR,1687272400,4195,707792540,2024
KALIMANTAN BARAT,2472077200,3094,764784150,2024
KALIMANTAN TENGAH,1110161300,3297.9999999999995,366146820,2024
KALIMANTAN SELATAN,2461124200,4183,1029567930,2024
KALIMANTAN TIMUR,630416500,3960,249642900,2024
KALIMANTAN UTARA,82820600,3632,30079770,2024
SULAWESI UTARA,591219600,4620,273134940,2024
SULAWESI TENGAH,1726062200,4414,761936390,2024
SULAWESI SELATAN,9513086000,5065,4818429390,2024
SULAWESI TENGGARA,1299996100,4276,555836080,2024
GORONTALO,469521500,5002,234862880,2024
SULAWESI BARAT,631815900,5047,318876590,2024
MALUKU,239473500,3804.9999999999995,91125350,2024
MALUKU UTARA,93667099.99999999,3334.0000000000005,31232950,2024
PAPUA BARAT,51211300,4047.9999999999995,20729150,2024
PAPUA BARAT DAYA,3638700,2717,988640,2024
PAPUA,10685700,4314,4609950,2024
PAPUA SELATAN,471685700,4617,217789620,2024
PAPUA TENGAH,14361199.999999998,4228,6072380,2024
PAPUA PEGUNUNGAN,96600,4387,42380,2024
